epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,180.549,0.80879,0.66902,1.14383,0.84257,0.47979,0.53431,0.26591,1.76394,2.04731,1.46968,1.90949e-05,1.90949e-05,1.90949e-05
83,182.543,0.76858,0.82166,1.19856,0.84257,0.47979,0.53431,0.26591,1.76394,2.04731,1.46968,1.83646e-05,1.83646e-05,1.83646e-05
84,184.547,0.78297,0.56739,1.20438,0.84631,0.47834,0.54019,0.26654,1.82235,2.07173,1.4995,1.76107e-05,1.76107e-05,1.76107e-05
85,186.473,0.56892,0.73379,1.1092,0.84631,0.47834,0.54019,0.26654,1.82235,2.07173,1.4995,1.68333e-05,1.68333e-05,1.68333e-05
86,188.423,0.7308,0.664,1.09799,0.84631,0.47834,0.54019,0.26654,1.82235,2.07173,1.4995,1.60323e-05,1.60323e-05,1.60323e-05
87,190.361,0.75032,0.78751,1.05089,0.84631,0.47834,0.54019,0.26654,1.82235,2.07173,1.4995,1.52077e-05,1.52077e-05,1.52077e-05
88,192.354,0.79125,0.86517,1.38106,0.83915,0.48367,0.533,0.28402,1.83034,2.06669,1.50089,1.43596e-05,1.43596e-05,1.43596e-05
89,194.282,0.99651,0.93437,1.48381,0.83915,0.48367,0.533,0.28402,1.83034,2.06669,1.50089,1.34879e-05,1.34879e-05,1.34879e-05
90,196.247,0.65449,0.639,1.01324,0.83915,0.48367,0.533,0.28402,1.83034,2.06669,1.50089,1.25927e-05,1.25927e-05,1.25927e-05
91,198.289,0.46031,0.5165,0.8899,0.83915,0.48367,0.533,0.28402,1.83034,2.06669,1.50089,1.16739e-05,1.16739e-05,1.16739e-05
92,200.264,0.71414,0.7007,0.99511,0.83609,0.48497,0.53533,0.27779,1.82379,2.02793,1.4815,1.07315e-05,1.07315e-05,1.07315e-05
93,202.22,0.47662,0.45668,0.98605,0.83609,0.48497,0.53533,0.27779,1.82379,2.02793,1.4815,9.76562e-06,9.76562e-06,9.76562e-06
94,204.143,0.54414,0.43396,0.88566,0.83609,0.48497,0.53533,0.27779,1.82379,2.02793,1.4815,8.77613e-06,8.77613e-06,8.77613e-06
95,206.077,0.43617,0.45136,0.89807,0.83609,0.48497,0.53533,0.27779,1.82379,2.02793,1.4815,7.76308e-06,7.76308e-06,7.76308e-06
96,208.07,0.43916,0.50827,0.96124,0.84005,0.46532,0.55516,0.30481,1.74181,1.95337,1.43446,6.72648e-06,6.72648e-06,6.72648e-06
97,210.079,0.68996,0.60516,1.04899,0.84005,0.46532,0.55516,0.30481,1.74181,1.95337,1.43446,5.6663e-06,5.6663e-06,5.6663e-06
98,212.002,0.51646,0.48604,0.90953,0.84005,0.46532,0.55516,0.30481,1.74181,1.95337,1.43446,4.58257e-06,4.58257e-06,4.58257e-06
99,213.936,0.47514,0.4602,0.90899,0.84005,0.46532,0.55516,0.30481,1.74181,1.95337,1.43446,3.47528e-06,3.47528e-06,3.47528e-06
100,215.962,0.55673,0.49189,1.00461,0.56303,0.51467,0.60755,0.34403,1.69513,1.87058,1.40681,2.34442e-06,2.34442e-06,2.34442e-06
